"","id","type","source","year","simpname","lastname","firstname","middlename","nationality","edu","prof","org","loc","lon","lat","text"
"1","fr2466","alumni","frei",1866,"alexander, f","alexander","florian",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Alexander, Florian. Baltimore, V. St. v. A."
"2","fr2467","alumni","frei",1866,"bohme, t","bohme","theodor",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Bohme, Theodor. Freiberg, Sachsen."
"3","fr2468","alumni","frei",1866,"bowmann, a","bowmann","amos",NA,"canada","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Bowmann, Amos. Canada."
"4","fr2469","alumni","frei",1866,"buck, s  m","buck","stuart m","m","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Buck, Stuart M. Boston, . V. St. v. A."
"5","fr2470","alumni","frei",1866,"cornwall, h  b","cornwall","henry b","b","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Cornwall, Henry B. Fairfield, Staat Connecticut, V. St. v. A."
"6","fr2471","alumni","frei",1866,"de crano, e","de crano","e",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"de Crano, E. G. San Francisco, V. St. v. A."
"7","fr2472","alumni","frei",1866,"davis, j  c","davis","john calvert","calvert","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Davis, John Calvert. . San Francisco, V. St. v. A."
"8","fr2473","alumni","frei",1866,"festner, e","festner","ernst",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Festner, Ernst. Lobejiin, PreuBen."
"9","fr2474","alumni","frei",1866,"frazer, p","frazer","persifor",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Frazer, Persifor. Philadelphia, Pennsylvanien, V. St. v.A."
"10","fr2475","alumni","frei",1866,"gage, j  r","gage","james r","r","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Gage, James R. Port Gibson, Staat Mississippi,"
"11","fr2476","alumni","frei",1866,"gignoux, j","gignoux","j",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Gignoux, J. Ernest. New York, V. St. v. A."
"12","fr2477","alumni","frei",1866,"goebel, e  o","goebel","ernst oscar friedr","oscar","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Goebel, Ernst Oscar Friedr. Plauen, Sachsen."
"13","fr2478","alumni","frei",1866,"graff, c  r","graff","carl richmond maximilian","richmond","poland","engineer",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Graff, Carl Richmond Maximilian. Neustadtel, PreuBen. Dipl.Ing. 1871."
"14","fr2479","alumni","frei",1866,"grohmann, c  e","grohmann","carl emil","emil","germany","engineer",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Grohmann, Carl Emil. Lobau, Sachsen. Dipl.Ing. 1871."
"15","fr2480","alumni","frei",1866,"guy, w","guy","william",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Guy, William. Cincinnati, Staat Ohio, V. St. v. A."
"16","fr2481","alumni","frei",1866,"hawkins, r  r","hawkins","richard r","r","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hawkins, Richard R. Buffalo, Staat New York,"
"17","fr2482","alumni","frei",1866,"hesse, c  g","hesse","carl gottlieb friedrich","gottlieb","germany","engineer",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hesse, Carl Gottlieb Friedrich. Niederfriedersdorf, Sachsen. Dipl.Ing. 1871."
"18","fr2483","alumni","frei",1866,"v hisinger, f  l","v hisinger","fridolf leopold","leopold","finland","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Hisinger, Fridolf Leopold. Finnland."
"19","fr2484","alumni","frei",1866,"hofmann, m  d","hofmann","moritz dagob","dagob","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Hofmann, Moritz Dagob. Julius. Freiberg, Sachs."
"20","fr2485","alumni","frei",1866,"krei13mann, c","krei13mann","charles",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Krei13mann, Charles. Boston, V. St. v. A."
"21","fr2486","alumni","frei",1866,"kuhner, p","kuhner","philipp",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Dr. phi!. Kuhner, Philipp. Frankfurt a. M."
"22","fr2487","alumni","frei",1866,"lilienthal, b","lilienthal","benj",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Lilienthal, Benj. Nettre. New York, V. St. v. A."
"23","fr2488","alumni","frei",1866,"malmros, v","malmros","victor",NA,"sweden","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Malmros, Victor. Treueborg, Schweden."
"24","fr2489","alumni","frei",1866,"moberg, c  a","moberg","carl adolph","adolph","finland","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Moberg, Carl Adolph. Helsingfors, Finnland."
"25","fr2490","alumni","frei",1866,"v iiller, e  e","v iiller","eduard emanuel wolfg","emanuel","switzerland","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v.Miiller, Eduard Emanuel Wolfg. Bern, Schweiz."
"26","fr2491","alumni","frei",1866,"pfohl, e","pfohl","eduard",NA,"czech republic","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Pfohl, Eduard. Steinschonau, Bohmen."
"27","fr2492","alumni","frei",1866,"potts, f","potts","francis",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Potts, Francis. New Orleans, V. St. v. A."
"28","fr2493","alumni","frei",1866,"preu, b","preu","bernhard",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Preu, Bernhard. Stuttgart, Wiirttemberg."
"29","fr2494","alumni","frei",1866,"reu6, c","reu6","carl",NA,"germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Reu6, Carl. Stuttgart, Wiirttemberg."
"30","fr2495","alumni","frei",1866,"richter, c  e","richter","carl eduard","eduard","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Richter, Carl Eduard. Freiberg, Sachsen."
"31","fr2496","alumni","frei",1866,"robbins, m","robbins","milton",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Robbins, Milton. New York, V. St. v. A."
"32","fr2497","alumni","frei",1866,"stephani, e  a","stephani","eduard alexis","alexis","estonia","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Stephani, Eduard Alexis. Dorpat, RuBland."
"33","fr2498","alumni","frei",1866,"thaulow, n  a","thaulow","nils andreas vibe","andreas","norway","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Thaulow, Nils Andreas Vibe. Norwegen."
"34","fr2499","alumni","frei",1866,"weitfeld, f  a","weitfeld","friedrich august","august","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Weitfeld, Friedrich August. Freiberg, Sachsen."
"35","fr2500","alumni","frei",1866,"whitney, d","whitney","drake",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Whitney, Drake. New York, V. St. v. A."
"36","fr2501","alumni","frei",1866,"v zedtwitz, a  l","v zedtwitz","arthur leo ludw","leo","germany","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"v. Zedtwitz, Arthur Leo Ludw. Leipzig, Sachs."
"37","fr2502","alumni","frei",1867,"atwill, g  p","atwill","george parker","parker","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Atwill, George Parker. New York, V. St. v. A."
"38","fr2503","alumni","frei",1867,"borden, w","borden","william",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Borden, William. Chicago, V. St. v. A."
"39","fr2504","alumni","frei",1867,"brady, s","brady","samuel",NA,"united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Brady, Samuel. Detroit, Michigan, V. St. v. A."
"40","fr2505","alumni","frei",1867,"bruner, b  m","bruner","breston martin","martin","united states of america","",NA,"freiberg school","freiberg sachsen",13.341727,50.9128283,"Bruner, Breston Martin. Emans, Pennsylvanien."
